"term_id"	"source"	"p_value"	"term_size"	"intersection_size"	"term_name"	"intersection"
"GO:0009987"	"GO:BP"	1.55689913851715e-05	14055	124	"cellular process"	"Ramp2,Stat6,Emp1,Mup19,Acvr1b,Slc5a7,Dazl,Serpine1,Spsb1,Trp53inp2,Zfp423,Pth1r,Plekha1,Esm1,Hsd11b1,Slc36a1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Shroom4,Mpp7,Cp,Anxa6,Lrrc8c,Akap12,Mug1,Mapk8ip1,Slc1a4,Dock10,S100b,Irak2,Mapre1,Nfe2l3,Fabp1,Synpo2,Rbm28,Tdrd7,Suclg2,Slc2a5,Mr1,Apob,Gata6,Arhgef6,Gsta4,Pdk1,Ffar2,Adam33,Ddo,Prkar2b,Cd274,Slc35b4,Pbx1,Cdc25c,Rhbdf1,Gsk3b,Dmxl2,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Gpd2,Cps1,Mcam,Mtss1l,Pzp,Scand1,Fgb,Rorc,Mycbp2,Akr1c14,Rnf19a,Serpina1e,Trf,Ambp,Rgs7bp,Map2k3,Zfp207,Eml2,Pgrmc1,Slco1b2,Pkp1,Gaa,Ccl24,Ptprq,Hnrnpa0,Adamtsl5,Tex11,Igf2bp1,Arhgap31,Mat1a,Uba3,Cpsf2,Rcor1,Ppp1r15a,Rcan2,Acacb,Plg,Hmgcl,Gpx4,Nxf2,Strip2,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Cdc42ep1,Dach1,Abcg5,Gc,Fmr1,Chchd10,F2r,Map4,Creg1,Adap2,Apoa2,Tusc5,Rnf112,Cbfb"
"GO:0050794"	"GO:BP"	2.40312482406707e-05	9266	95	"regulation of cellular process"	"Ramp2,Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Pth1r,Plekha1,Esm1,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Mpp7,Anxa6,Akap12,Mug1,Mapk8ip1,Dock10,S100b,Irak2,Mapre1,Nfe2l3,Fabp1,Synpo2,Mr1,Apob,Gata6,Arhgef6,Pdk1,Ffar2,Adam33,Prkar2b,Cd274,Slc35b4,Pbx1,Cdc25c,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Mcam,Pzp,Scand1,Fgb,Rorc,Mycbp2,Rnf19a,Serpina1e,Trf,Ambp,Rgs7bp,Map2k3,Zfp207,Eml2,Pgrmc1,Pkp1,Ccl24,Ptprq,Hnrnpa0,Tex11,Igf2bp1,Arhgap31,Uba3,Rcor1,Ppp1r15a,Rcan2,Acacb,Plg,Gpx4,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Cdc42ep1,Dach1,Abcg5,Fmr1,Chchd10,F2r,Map4,Creg1,Adap2,Apoa2,Rnf112,Cbfb"
"GO:0060255"	"GO:BP"	2.43889209270966e-05	5540	68	"regulation of macromolecule metabolic process"	"Ramp2,Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Akap12,Mug1,Mapk8ip1,S100b,Irak2,Nfe2l3,Fabp1,Synpo2,Tdrd7,Apob,Gata6,Ffar2,Adam33,Prkar2b,Cd274,Pbx1,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Pzp,Scand1,Fgb,Rorc,Mycbp2,Rnf19a,Serpina1e,Trf,Ambp,Map2k3,Pkp1,Ccl24,Ptprq,Hnrnpa0,Igf2bp1,Uba3,Rcor1,Ppp1r15a,Rcan2,Acacb,F2,Polg2,Nfkbiz,Vhl,Dach1,Fmr1,Chchd10,F2r,Creg1,Apoa2,Cbfb"
"GO:0030195"	"GO:BP"	2.57258238119612e-05	44	7	"negative regulation of blood coagulation"	"Serpine1,Fga,Kng1,Fgg,Fgb,Plg,F2"
"GO:0050819"	"GO:BP"	3.02972568314657e-05	45	7	"negative regulation of coagulation"	"Serpine1,Fga,Kng1,Fgg,Fgb,Plg,F2"
"GO:1900047"	"GO:BP"	3.02972568314657e-05	45	7	"negative regulation of hemostasis"	"Serpine1,Fga,Kng1,Fgg,Fgb,Plg,F2"
"GO:0019222"	"GO:BP"	3.5460062735197e-05	5973	71	"regulation of metabolic process"	"Ramp2,Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Pth1r,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Akap12,Mug1,Mapk8ip1,S100b,Irak2,Nfe2l3,Fabp1,Synpo2,Tdrd7,Apob,Gata6,Pdk1,Ffar2,Adam33,Prkar2b,Cd274,Slc35b4,Pbx1,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Pzp,Scand1,Fgb,Rorc,Mycbp2,Rnf19a,Serpina1e,Trf,Ambp,Map2k3,Pkp1,Ccl24,Ptprq,Hnrnpa0,Igf2bp1,Uba3,Rcor1,Ppp1r15a,Rcan2,Acacb,F2,Polg2,Nfkbiz,Vhl,Dach1,Fmr1,Chchd10,F2r,Creg1,Apoa2,Cbfb"
"GO:0008152"	"GO:BP"	3.65564629107023e-05	10097	100	"metabolic process"	"Ramp2,Stat6,Mup19,Acvr1b,Slc5a7,Dazl,Serpine1,Spsb1,Trp53inp2,Zfp423,Pth1r,Plekha1,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Cp,Akap12,Mug1,Mapk8ip1,S100b,Irak2,Nfe2l3,Apol9a,Fabp1,Synpo2,Rbm28,Tdrd7,Suclg2,Mr1,Apob,Gata6,Gsta4,Pdk1,Ffar2,Adam33,Ddo,Prkar2b,Cd274,Slc35b4,Pbx1,Cdc25c,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Gpd2,Cps1,Pzp,Scand1,Fgb,Rorc,Mycbp2,Akr1c14,Rnf19a,Serpina1e,Trf,Ambp,Map2k3,Pgrmc1,Pkp1,Gaa,Ccl24,Ptprq,Hnrnpa0,Adamtsl5,Tex11,Igf2bp1,Mat1a,Uba3,Cpsf2,Rcor1,Ppp1r15a,Rcan2,Acacb,Plg,Hmgcl,Gpx4,Nxf2,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Dach1,Gc,Fmr1,Chchd10,F2r,Creg1,Ces3a,Apoa2,Rnf112,Cbfb"
"GO:0030193"	"GO:BP"	9.11057972715079e-05	79	8	"regulation of blood coagulation"	"Serpine1,Fga,Kng1,Fgg,Fgb,Plg,F2,F2r"
"GO:1900046"	"GO:BP"	0.000100667423957115	80	8	"regulation of hemostasis"	"Serpine1,Fga,Kng1,Fgg,Fgb,Plg,F2,F2r"
"GO:0050818"	"GO:BP"	0.000111080199175477	81	8	"regulation of coagulation"	"Serpine1,Fga,Kng1,Fgg,Fgb,Plg,F2,F2r"
"GO:0031323"	"GO:BP"	0.00017034582654558	5418	65	"regulation of cellular metabolic process"	"Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Pth1r,Hsd11b1,Cidea,Cnpy2,Fga,Ddit4,Akap12,Mug1,Mapk8ip1,S100b,Irak2,Nfe2l3,Fabp1,Synpo2,Gata6,Pdk1,Adam33,Prkar2b,Slc35b4,Pbx1,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Pzp,Scand1,Fgb,Rorc,Mycbp2,Rnf19a,Serpina1e,Trf,Ambp,Map2k3,Pkp1,Ccl24,Ptprq,Hnrnpa0,Igf2bp1,Uba3,Rcor1,Ppp1r15a,Rcan2,Acacb,F2,Polg2,Nfkbiz,Vhl,Dach1,Fmr1,Chchd10,F2r,Creg1,Apoa2,Cbfb"
"GO:0048518"	"GO:BP"	0.000197132783949844	5565	66	"positive regulation of biological process"	"Ramp2,Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Pth1r,Plekha1,Esm1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Mpp7,Akap12,Mapk8ip1,Apoc4,S100b,Irak2,Mapre1,Nfe2l3,Fabp1,Synpo2,Mr1,Apob,Gata6,Ffar2,Cd274,Pbx1,Cdc25c,Gsk3b,Tfap4,Gcnt2,Fgg,Lhfpl2,Mcam,Scand1,Fgb,Rorc,Mycbp2,Rnf19a,Trf,Map2k3,Pgrmc1,Pkp1,Ccl24,Hnrnpa0,Igf2bp1,Rcor1,Ppp1r15a,Acacb,Plg,F2,Polg2,Nfkbiz,Vhl,Cdc42ep1,Fmr1,Chchd10,F2r,Apoa2,Rnf112,Cbfb"
"GO:0051171"	"GO:BP"	0.000243741984597805	5090	62	"regulation of nitrogen compound metabolic process"	"Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Akap12,Mug1,Mapk8ip1,S100b,Irak2,Nfe2l3,Fabp1,Synpo2,Gata6,Pdk1,Adam33,Prkar2b,Pbx1,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Pzp,Scand1,Fgb,Rorc,Mycbp2,Rnf19a,Serpina1e,Trf,Ambp,Map2k3,Pkp1,Ccl24,Ptprq,Hnrnpa0,Igf2bp1,Uba3,Rcor1,Ppp1r15a,Rcan2,F2,Polg2,Nfkbiz,Vhl,Dach1,Fmr1,Chchd10,F2r,Creg1,Cbfb"
"GO:0042221"	"GO:BP"	0.000384590353295873	3826	51	"response to chemical"	"Ramp2,Stat6,Mup19,Acvr1b,Mest,Serpine1,Zfp423,Plekha1,Cidea,Rhbdd3,Fga,Ddit4,Cp,Lrrc8c,Akap12,S100b,Irak2,Fabp1,Slc2a5,Apob,Gata6,Gsta4,Pdk1,Ffar2,Prkar2b,Cd274,Gsk3b,Tfap4,Gcnt2,Fgg,Cps1,Mtss1l,Fgb,Rorc,Mycbp2,Serpina1e,Trf,Map2k3,Slco1b2,Ccl24,Hnrnpa0,Ppp1r15a,Acacb,Hmgcl,Gpx4,Vhl,Abcg5,F2r,Apoa2,Tusc5,Rnf112"
"GO:0061045"	"GO:BP"	0.000463125399478383	66	7	"negative regulation of wound healing"	"Serpine1,Fga,Kng1,Fgg,Fgb,Plg,F2"
"GO:0032502"	"GO:BP"	0.00047854256233775	5562	65	"developmental process"	"Ramp2,Stat6,Mup19,Acvr1b,Dazl,Serpine1,Trp53inp2,Zfp423,Pth1r,Plekha1,Esm1,Hsd11b1,Rhbdd3,Ddit4,Shroom4,Anxa6,Lrrc8c,Mug1,S100b,Tdrd7,Mr1,Apob,Gata6,Ffar2,Cd274,Pbx1,Cdc25c,Gsk3b,Fcor,Gcnt2,Fgg,Lhfpl2,Gpd2,Cps1,Mcam,Pzp,Rorc,Mycbp2,Akr1c14,Trf,Slco1b2,Gaa,Ccl24,Ptprq,Tex11,Igf2bp1,Rcor1,Acacb,Plg,Hmgcl,Gpx4,Strip2,F2,Polg2,Nfkbiz,Vhl,Dclk1,Cdc42ep1,Dach1,Fmr1,Map4,Adap2,Apoa2,Rnf112,Cbfb"
"GO:0010605"	"GO:BP"	0.000589266624399973	2548	39	"negative regulation of macromolecule metabolic process"	"Stat6,Mup19,Acvr1b,Dazl,Serpine1,Zfp423,Cidea,Cnpy2,Ddit4,Mug1,Mapk8ip1,Nfe2l3,Fabp1,Gata6,Prkar2b,Cd274,Gsk3b,Fcor,Tfap4,Kng1,Pzp,Rorc,Mycbp2,Serpina1e,Ambp,Pkp1,Ptprq,Hnrnpa0,Igf2bp1,Uba3,Rcor1,Ppp1r15a,Acacb,F2,Vhl,Dach1,Fmr1,Apoa2,Cbfb"
"GO:0044238"	"GO:BP"	0.000656660421099224	9061	90	"primary metabolic process"	"Stat6,Mup19,Acvr1b,Dazl,Serpine1,Spsb1,Trp53inp2,Zfp423,Pth1r,Plekha1,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Akap12,Mug1,Mapk8ip1,S100b,Irak2,Nfe2l3,Apol9a,Fabp1,Synpo2,Rbm28,Suclg2,Apob,Gata6,Pdk1,Adam33,Ddo,Prkar2b,Slc35b4,Pbx1,Cdc25c,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Gpd2,Cps1,Pzp,Scand1,Fgb,Rorc,Mycbp2,Akr1c14,Rnf19a,Serpina1e,Trf,Ambp,Map2k3,Pkp1,Gaa,Ccl24,Ptprq,Hnrnpa0,Adamtsl5,Tex11,Igf2bp1,Mat1a,Uba3,Cpsf2,Rcor1,Ppp1r15a,Rcan2,Acacb,Plg,Hmgcl,Gpx4,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Dach1,Gc,Fmr1,Chchd10,F2r,Creg1,Ces3a,Apoa2,Rnf112,Cbfb"
"GO:0006807"	"GO:BP"	0.00115005864254575	8571	86	"nitrogen compound metabolic process"	"Stat6,Mup19,Acvr1b,Slc5a7,Dazl,Serpine1,Spsb1,Trp53inp2,Zfp423,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Akap12,Mug1,Mapk8ip1,S100b,Irak2,Nfe2l3,Apol9a,Fabp1,Synpo2,Rbm28,Suclg2,Apob,Gata6,Gsta4,Pdk1,Adam33,Ddo,Prkar2b,Pbx1,Cdc25c,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Cps1,Pzp,Scand1,Fgb,Rorc,Mycbp2,Akr1c14,Rnf19a,Serpina1e,Trf,Ambp,Map2k3,Pgrmc1,Pkp1,Ccl24,Ptprq,Hnrnpa0,Adamtsl5,Tex11,Igf2bp1,Mat1a,Uba3,Cpsf2,Rcor1,Ppp1r15a,Rcan2,Acacb,Plg,Hmgcl,Gpx4,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Dach1,Fmr1,Chchd10,F2r,Creg1,Apoa2,Rnf112,Cbfb"
"GO:0044237"	"GO:BP"	0.00150111507251361	9206	90	"cellular metabolic process"	"Ramp2,Stat6,Mup19,Acvr1b,Slc5a7,Dazl,Serpine1,Spsb1,Trp53inp2,Zfp423,Pth1r,Plekha1,Hsd11b1,Cidea,Rhbdd3,Cnpy2,Fga,Ddit4,Akap12,Mug1,Mapk8ip1,S100b,Irak2,Nfe2l3,Fabp1,Synpo2,Rbm28,Suclg2,Apob,Gata6,Gsta4,Pdk1,Adam33,Ddo,Prkar2b,Slc35b4,Pbx1,Cdc25c,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Gpd2,Cps1,Pzp,Scand1,Fgb,Rorc,Mycbp2,Akr1c14,Rnf19a,Serpina1e,Trf,Ambp,Map2k3,Pgrmc1,Pkp1,Gaa,Ccl24,Ptprq,Hnrnpa0,Tex11,Igf2bp1,Mat1a,Uba3,Cpsf2,Rcor1,Ppp1r15a,Rcan2,Acacb,Plg,Hmgcl,Gpx4,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Dach1,Fmr1,Chchd10,F2r,Creg1,Apoa2,Rnf112,Cbfb"
"GO:0003008"	"GO:BP"	0.00162522236000665	1547	28	"system process"	"Ramp2,Fga,Shroom4,Anxa6,Akap12,Slc1a4,S100b,Fabp1,Slc2a5,Gata6,Prkar2b,Gsk3b,Kng1,Fgg,Cps1,Mcam,Fgb,Mycbp2,Trf,Map2k3,Pgrmc1,Gaa,Ptprq,Rcan2,Abcg5,Fmr1,F2r,Apoa2"
"GO:1902042"	"GO:BP"	0.00176773210867892	28	5	"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors"	"Serpine1,Fga,Gsk3b,Fgg,Fgb"
"GO:0009892"	"GO:BP"	0.00184199289160679	2772	40	"negative regulation of metabolic process"	"Stat6,Mup19,Acvr1b,Dazl,Serpine1,Zfp423,Cidea,Cnpy2,Ddit4,Mug1,Mapk8ip1,Nfe2l3,Fabp1,Gata6,Pdk1,Prkar2b,Cd274,Gsk3b,Fcor,Tfap4,Kng1,Pzp,Rorc,Mycbp2,Serpina1e,Ambp,Pkp1,Ptprq,Hnrnpa0,Igf2bp1,Uba3,Rcor1,Ppp1r15a,Acacb,F2,Vhl,Dach1,Fmr1,Apoa2,Cbfb"
"GO:0050896"	"GO:BP"	0.00201142497997559	7388	77	"response to stimulus"	"Ramp2,Stat6,Mup19,Acvr1b,Mest,Serpine1,Zfp423,Pth1r,Plekha1,Esm1,Cidea,Rhbdd3,Fga,Ddit4,Cp,Anxa6,Lrrc8c,Akap12,Mapk8ip1,Dock10,S100b,Irak2,Fabp1,Slc2a5,Mr1,Apob,Gata6,Arhgef6,Gsta4,Pdk1,Ffar2,Prkar2b,Cd274,Rhbdf1,Gsk3b,Fcor,Tfap4,Gcnt2,Kng1,Fgg,Cps1,Mcam,Mtss1l,Fgb,Rorc,Mycbp2,Serpina1e,Trf,Rgs7bp,Map2k3,Slco1b2,Ccl24,Ptprq,Hnrnpa0,Igf2bp1,Arhgap31,Ppp1r15a,Rcan2,Acacb,Plg,Hmgcl,Gpx4,F2,Polg2,Nfkbiz,Ttr,Vhl,Dclk1,Dach1,Abcg5,Fmr1,Chchd10,F2r,Adap2,Apoa2,Tusc5,Rnf112"
"GO:1903035"	"GO:BP"	0.00207016357005881	82	7	"negative regulation of response to wounding"	"Serpine1,Fga,Kng1,Fgg,Fgb,Plg,F2"
