"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0007156"	"homophilic cell adhesion via plasma membrane adhesion molecules"	"6/117"	"95/17062"	4.83360396789257e-05	0.00681538159472852	0.00633819948872529	"Cdh16/Pcdh12/Cdh1/Pecam1/Igfn1/Igsf11"	6
"BP"	"GO:0003351"	"epithelial cilium movement involved in extracellular fluid movement"	"4/117"	"31/17062"	5.72719928032207e-05	0.00753699425290385	0.00700928810167136	"Dnah11/Ak7/Spag6l/Ccdc40"	4
"CC"	"GO:0005930"	"axoneme"	"10/118"	"126/17274"	1.48995495327512e-08	1.58080359176269e-06	1.42102977741127e-06	"Dnah5/Dcdc2a/Dnah11/Spag6l/Rsph4a/Wdr63/Spag16/Dnah9/Ccdc40/Dnah6"	10
"CC"	"GO:0097014"	"ciliary plasm"	"10/118"	"128/17274"	1.73445730195425e-08	1.58080359176269e-06	1.42102977741127e-06	"Dnah5/Dcdc2a/Dnah11/Spag6l/Rsph4a/Wdr63/Spag16/Dnah9/Ccdc40/Dnah6"	10
"CC"	"GO:0031514"	"motile cilium"	"12/118"	"210/17274"	2.09841184747259e-08	1.58080359176269e-06	1.42102977741127e-06	"Dnah5/Dnah11/Cfap65/Spata18/Septin4/Ak7/Cfap44/Spag6l/Drc7/Spag16/Dnah9/Ccdc40"	12
"CC"	"GO:0032838"	"plasma membrane bounded cell projection cytoplasm"	"10/118"	"167/17274"	2.16220610326949e-07	1.22164644834726e-05	1.09817309981845e-05	"Dnah5/Dcdc2a/Dnah11/Spag6l/Rsph4a/Wdr63/Spag16/Dnah9/Ccdc40/Dnah6"	10
"CC"	"GO:0099568"	"cytoplasmic region"	"11/118"	"218/17274"	2.94940161524384e-07	1.33312953009021e-05	1.19838844577276e-05	"Dnah5/Dcdc2a/Dnah11/Spag6l/Rsph4a/Wdr63/Spag16/Dnah9/Ccdc40/Sapcd2/Dnah6"	11
"CC"	"GO:0097729"	"9+2 motile cilium"	"8/118"	"142/17274"	5.84673052682487e-06	0.000220226849843737	0.000197968244153895	"Dnah5/Dnah11/Cfap65/Spata18/Septin4/Spag6l/Spag16/Dnah9"	8
"CC"	"GO:0045177"	"apical part of cell"	"12/118"	"430/17274"	3.82916560891672e-05	0.00121678746307903	0.00109380521832442	"Prom2/Kcnk1/Pkhd1/Gpihbp1/Epcam/Pdzk1/Adcy8/Cdh1/Plet1/Slc7a9/Ush1c/Sapcd2"	12
"CC"	"GO:0030286"	"dynein complex"	"5/118"	"57/17274"	4.30721225868682e-05	0.00121678746307903	0.00109380521832442	"Dnah5/Dnah11/Wdr63/Dnah9/Dnah6"	5
"MF"	"GO:0008569"	"ATP-dependent microtubule motor activity, minus-end-directed"	"4/116"	"20/16864"	9.45730322940514e-06	0.00270478872360987	0.00261817973614058	"Dnah5/Dnah11/Dnah9/Dnah6"	4
"MF"	"GO:0051959"	"dynein light intermediate chain binding"	"4/116"	"30/16864"	5.07277635965661e-05	0.0067485190953124	0.00653242739075142	"Dnah5/Dnah11/Dnah9/Dnah6"	4
"MF"	"GO:0045505"	"dynein intermediate chain binding"	"4/116"	"33/16864"	7.4549099894021e-05	0.0067485190953124	0.00653242739075142	"Dnah5/Dnah11/Dnah9/Dnah6"	4
"MF"	"GO:1990939"	"ATP-dependent microtubule motor activity"	"4/116"	"35/16864"	9.43848824519217e-05	0.0067485190953124	0.00653242739075142	"Dnah5/Dnah11/Dnah9/Dnah6"	4
