"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0000910","cytokinesis","21/688","158/20761",6.39291326495986e-08,1.0510831188734e-05,8.61360945173539e-06,"Kif20a/Rab11a/Birc5/Sptbn1/Plk2/Myh9/Racgap1/Cep55/Nusap1/Cdc25b/Aurka/Ect2/Stmn1/Cenpa/Cit/Plk1/Kif23/Kif4/Klhl13/Ckap2/Prc1",21
"BP","GO:0007346","regulation of mitotic cell cycle","41/688","492/20761",6.72844619912795e-08,1.0693743825814e-05,8.76350606707472e-06,"Pdgfb/Ube2c/Rab11a/Kif11/Chfr/Birc5/Esr1/Fbxo5/Cdk1/Top2a/Plk2/Mtbp/App/Ndc80/Lmnb1/Cenpf/Nek2/Nusap1/Cdc25b/Bub1/Tpx2/E2f1/Tal1/Stil/Rcc1/Cit/Mad2l1/Iqgap1/Plk1/Mki67/Wee1/Tacc3/Eme1/Cdk5rap2/Ccnb1/Clspn/Cenpe/Adam17/Taok2/Cks2/Psrc1",41
"BP","GO:0051783","regulation of nuclear division","23/688","192/20761",1.07563780480265e-07,1.65440033977388e-05,1.35577844870202e-05,"Pdgfb/Ube2c/Cdc20/Dazl/Kif11/Birc5/Esr1/Fbxo5/Mtbp/Ndc80/Sgo2a/Nek2/Nusap1/Bub1/Rcc1/Cit/Mad2l1/Plk1/Mki67/Tacc3/Cdk5rap2/Ccnb1/Cenpe",23
"BP","GO:0051225","spindle assembly","16/688","102/20761",2.38205090892144e-07,3.54925585429295e-05,2.90860953089355e-05,"Rab11a/Cdc20/Kif11/Birc5/Fbxo5/Racgap1/Nek2/Tubgcp4/Tpx2/Aurka/Rcc1/Plk1/Kif23/Aspm/Kif4/Kifc1",16
"BP","GO:0007093","mitotic cell cycle checkpoint","18/688","129/20761",2.64446983550055e-07,3.82085823505049e-05,3.13118725020033e-05,"Chfr/Birc5/Cdk1/Top2a/Plk2/Mtbp/Ndc80/Bub1/Stil/Mad2l1/Plk1/Wee1/Eme1/Cdk5rap2/Ccnb1/Clspn/Cenpe/Taok2",18
"BP","GO:0051310","metaphase plate congression","12/688","57/20761",2.87354664847695e-07,3.85220865451727e-05,3.15687886912048e-05,"Rab11a/Ndc80/Cenpf/Nuf2/Fam83d/Kif2c/Cdca8/Kif22/Ccnb1/Cenpe/Rrs1/Psrc1",12
"BP","GO:0071900","regulation of protein serine/threonine kinase activity","36/688","425/20761",2.88326351141036e-07,3.85220865451727e-05,3.15687886912048e-05,"Pdgfb/Prkar2b/Map2k3/Spag9/Lats2/Sod1/Hsp90ab1/Atp2b4/Mapk8ip1/Ccna2/Iqgap3/Ccne2/Cdkn2c/Stil/Ret/Kras/Iqgap1/Plk1/Ccnb2/Trf/Mdfic/Ccnb1/Lyn/Itga1/Adora1/Sh2b3/Rasip1/F2r/Synpo2/Adam17/Tead1/Ntrk3/Taok2/Samd5/Gstp1/Psrc1",36
"BP","GO:0051304","chromosome separation","15/688","91/20761",2.90854680290734e-07,3.85220865451727e-05,3.15687886912048e-05,"Birc5/Fbxo5/Top2a/Ndc80/Bub1/Cit/Mad2l1/Plk1/Ncaph/Tacc3/Eme1/Cdk5rap2/Ccnb1/Cenpe/Espl1",15
"BP","GO:0071174","mitotic spindle checkpoint","10/688","38/20761",3.05398789292912e-07,3.93551737121245e-05,3.22515023002927e-05,"Birc5/Mtbp/Ndc80/Bub1/Stil/Mad2l1/Plk1/Cdk5rap2/Ccnb1/Cenpe",10
"BP","GO:0030198","extracellular matrix organization","27/688","269/20761",3.40113656783285e-07,4.26753135669132e-05,3.49723516337826e-05,"Ramp2/Col18a1/Nid1/Wt1/Myh11/Ccn2/Aebp1/Fbln5/App/Lox/Dpt/Eng/Col5a1/Postn/Hspg2/Emilin1/Fscn1/Eln/Col4a1/Col4a2/Ets1/Anxa2/Plod2/Loxl2/Olfml2a/Fbln2/Col8a1",27
"BP","GO:0043062","extracellular structure organization","27/688","270/20761",3.66309705818317e-07,4.47837096754291e-05,3.67001788933223e-05,"Ramp2/Col18a1/Nid1/Wt1/Myh11/Ccn2/Aebp1/Fbln5/App/Lox/Dpt/Eng/Col5a1/Postn/Hspg2/Emilin1/Fscn1/Eln/Col4a1/Col4a2/Ets1/Anxa2/Plod2/Loxl2/Olfml2a/Fbln2/Col8a1",27
"BP","GO:0007088","regulation of mitotic nuclear division","20/688","161/20761",4.00695522288253e-07,4.77629062567597e-05,3.91416257561577e-05,"Pdgfb/Ube2c/Kif11/Birc5/Esr1/Fbxo5/Mtbp/Ndc80/Nek2/Nusap1/Bub1/Rcc1/Cit/Mad2l1/Plk1/Mki67/Tacc3/Cdk5rap2/Ccnb1/Cenpe",20
"BP","GO:0000086","G2/M transition of mitotic cell cycle","16/688","110/20761",6.85641766830188e-07,7.97351205913741e-05,6.53428045821222e-05,"Foxm1/Rab11a/Birc5/Fbxo5/Cdk1/App/Lmnb1/Cenpf/Cdc25b/Ccna2/Cit/Plk1/Ccnb1/Clspn/Fbxl7/Taok2",16
"BP","GO:0009611","response to wounding","38/688","482/20761",8.14291996827123e-07,9.1478164421327e-05,7.49662103346799e-05,"Pdgfb/Timp1/Aqp1/Cd44/Elk3/Anxa6/Pecam1/Vash1/Dhfr/Fzd6/Myh9/Plec/Sod1/Wfdc1/C3/Lox/Dst/Eng/Col5a1/Ccm2l/Aurka/Tnc/Macf1/Cx3cl1/Anxa2/Dysf/Ccl2/Serpine1/Abhd2/Lyn/Sh2b3/Nrep/F2r/Adam17/Arhgap24/Ntrk3/Neat1/Muc16",38
"BP","GO:0007080","mitotic metaphase plate congression","10/688","42/20761",8.43278375059272e-07,9.1478164421327e-05,7.49662103346799e-05,"Rab11a/Ndc80/Nuf2/Kif2c/Cdca8/Kif22/Ccnb1/Cenpe/Rrs1/Psrc1",10
"BP","GO:0051656","establishment of organelle localization","31/688","352/20761",8.44177691807548e-07,9.1478164421327e-05,7.49662103346799e-05,"Rab11a/Fhod1/Birc5/Slc2a4/Myh9/Ndc80/Cenpf/Mark1/Nuf2/Sapcd2/Nusap1/Fam83d/Kif2c/Cdca8/Cenpa/Mad2l1/Kif22/Plk1/Kif23/Tacc3/Cdk5rap2/Picalm/Ccnb1/Lyn/Cenpe/Fes/Rrs1/Kif1b/Rps15/Psrc1/Kifc1",31
"BP","GO:0051303","establishment of chromosome localization","13/688","75/20761",9.91419869723033e-07,0.000104658016256126,8.57670779633386e-05,"Rab11a/Birc5/Ndc80/Cenpf/Nuf2/Fam83d/Kif2c/Cdca8/Kif22/Ccnb1/Cenpe/Rrs1/Psrc1",13
"BP","GO:0051988","regulation of attachment of spindle microtubules to kinetochore","6/688","12/20761",1.00970401589383e-06,0.000104658016256126,8.57670779633386e-05,"Racgap1/Nek2/Knstrn/Ect2/Ccnb1/Cenpe",6
"BP","GO:0045839","negative regulation of mitotic nuclear division","11/688","53/20761",1.04799049238701e-06,0.000106315290802154,8.71252118194976e-05,"Birc5/Esr1/Fbxo5/Mtbp/Ndc80/Bub1/Mad2l1/Plk1/Cdk5rap2/Ccnb1/Cenpe",11
"BP","GO:0043534","blood vessel endothelial cell migration","16/688","114/20761",1.12015282301203e-06,0.000111268513752528,9.11843701539614e-05,"Pdgfb/Plcg1/Map2k3/Vash1/Plk2/Myh9/Nrp1/Dll4/Pik3r3/Ephb4/Ets1/Jcad/Meox2/Mmrn2/Clec14a/Adam17",16
"BP","GO:0050000","chromosome localization","13/688","76/20761",1.160171352041e-06,0.0001128917756435,9.25146306933661e-05,"Rab11a/Birc5/Ndc80/Cenpf/Nuf2/Fam83d/Kif2c/Cdca8/Kif22/Ccnb1/Cenpe/Rrs1/Psrc1",13
"BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","11/688","54/20761",1.27703635221821e-06,0.000121778186547529,9.97970303038739e-05,"Birc5/Fbxo5/Ndc80/Bub1/Cit/Mad2l1/Plk1/Tacc3/Cdk5rap2/Ccnb1/Cenpe",11
"BP","GO:0002040","sprouting angiogenesis","16/688","116/20761",1.41948518202108e-06,0.000132707947997579,0.000108753952438849,"Itga5/Ramp2/Plk2/Nrp1/Dll4/Pik3r3/Ephb4/Adgra2/Cdh13/Jcad/Loxl2/Meox2/Mmrn2/Esm1/Aplnr/Clec14a",16
"BP","GO:0010965","regulation of mitotic sister chromatid separation","11/688","55/20761",1.54894767657343e-06,0.000142026586959656,0.000116390562255882,"Birc5/Fbxo5/Ndc80/Bub1/Cit/Mad2l1/Plk1/Tacc3/Cdk5rap2/Ccnb1/Cenpe",11
"BP","GO:0051640","organelle localization","38/688","498/20761",1.79480214069884e-06,0.000161033155791264,0.000131966415201601,"Rab11a/Psen2/Fhod1/Birc5/Slc2a4/Spag9/Nin/Myh9/Ndc80/Cenpf/Mark1/Nuf2/Sapcd2/Nusap1/Aurka/Fam83d/Kif2c/Cdca8/Cenpa/Mad2l1/Kif22/Plk1/Kif23/Aspm/Pcdh17/Ndrg4/Tacc3/Cdk5rap2/Picalm/Ccnb1/Lyn/Cenpe/Fes/Rrs1/Kif1b/Rps15/Psrc1/Kifc1",38
"BP","GO:0000075","cell cycle checkpoint","20/688","177/20761",1.82378154629367e-06,0.000161033155791264,0.000131966415201601,"Chfr/Birc5/Cdk1/Top2a/Plk2/Mtbp/Ndc80/Bub1/E2f1/Aurka/Stil/Mad2l1/Plk1/Wee1/Eme1/Cdk5rap2/Ccnb1/Clspn/Cenpe/Taok2",20
"BP","GO:1902903","regulation of supramolecular fiber organization","30/688","348/20761",1.96659310035104e-06,0.000170485743681341,0.000139712795952212,"Fhod1/Ccn2/Sptbn1/Aebp1/Pecam1/Nin/Clu/App/Nrp1/Stmn1/Emilin1/Cit/Eln/Fkbp4/Vasp/Cx3cl1/Cdh5/Dysf/Asap3/Plekhg2/Ckap2/Cdk5rap2/Kank3/Synpo/S1pr1/Cdc42ep1/Synpo2/Fes/Myadm/Psrc1",30
"BP","GO:0061640","cytoskeleton-dependent cytokinesis","14/688","93/20761",2.22952676837985e-06,0.000184881361543302,0.000151509981907616,"Kif20a/Birc5/Sptbn1/Racgap1/Cep55/Nusap1/Ect2/Stmn1/Cenpa/Cit/Plk1/Kif23/Kif4/Ckap2",14
"BP","GO:0044784","metaphase/anaphase transition of cell cycle","11/688","57/20761",2.24897629394118e-06,0.000184881361543302,0.000151509981907616,"Birc5/Fbxo5/Ndc80/Bub1/Cit/Mad2l1/Plk1/Tacc3/Cdk5rap2/Ccnb1/Cenpe",11
"BP","GO:0090307","mitotic spindle assembly","11/688","57/20761",2.24897629394118e-06,0.000184881361543302,0.000151509981907616,"Rab11a/Cdc20/Kif11/Birc5/Racgap1/Nek2/Tpx2/Plk1/Kif23/Kif4/Kifc1",11
"BP","GO:0021700","developmental maturation","28/688","316/20761",2.53116013462742e-06,0.00020455205969328,0.000167630087774076,"Pdgfb/Tmem79/Cdc20/Dazl/Psen2/Fbxo5/App/C3/Cd63/Fam20c/Anapc2/Cdc25b/Aurka/Tal1/Ret/Cdh5/Cbfb/Pth1r/Tut4/Dchs1/Abhd2/Picalm/Ccnb1/Reln/S1pr1/Sox18/Fat4/Lep",28
"BP","GO:0051306","mitotic sister chromatid separation","11/688","58/20761",2.69306702368443e-06,0.000214009059482123,0.000175380084068712,"Birc5/Fbxo5/Ndc80/Bub1/Cit/Mad2l1/Plk1/Tacc3/Cdk5rap2/Ccnb1/Cenpe",11
"BP","GO:0090068","positive regulation of cell cycle process","24/688","249/20761",3.09822223859495e-06,0.000242169239895422,0.000198457307155556,"Pdgfb/Ube2c/Rab11a/Dazl/Birc5/Fbxo5/Cdk1/Ccn2/Mtbp/App/Racgap1/Ndc80/Lmnb1/Sgo2a/Nusap1/Cdc25b/Fam83d/Ect2/Cit/Mad2l1/Kif23/Ccnb1/Cenpe/Adam17",24
"BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","9/688","38/20761",3.1494945453082e-06,0.000242206290194024,0.000198487669816367,"Birc5/Fbxo5/Ndc80/Bub1/Mad2l1/Plk1/Cdk5rap2/Ccnb1/Cenpe",9
"BP","GO:0097581","lamellipodium organization","13/688","83/20761",3.24813793087219e-06,0.000245827327847597,0.00020145510441767,"Aqp1/Cd44/Spata13/Ablim1/Hdac4/Fscn1/Wasf3/Arhgef6/Arhgef7/Cdh13/Ablim3/Mtss2/S1pr1",13
"BP","GO:0033674","positive regulation of kinase activity","36/688","474/20761",3.72696764016698e-06,0.00027765908919244,0.000227541182241773,"Pdgfb/Cd44/Map2k3/Spag9/Nedd9/Clu/Sod1/Hsp90ab1/Atp2b4/Cdc25b/Tpx2/Ect2/Iqgap3/Lmo4/Tal1/Stil/Ret/Kras/Iqgap1/Trf/Mdfic/Ncapg2/Lyn/Itga1/Adora1/Reln/Clspn/Cenpe/F2r/Adam17/Tead1/Ntrk3/Lep/Taok2/Samd5/Psrc1",36
"BP","GO:2000816","negative regulation of mitotic sister chromatid separation","9/688","39/20761",3.97476678388713e-06,0.000291564431162674,0.000238936587883223,"Birc5/Fbxo5/Ndc80/Bub1/Mad2l1/Plk1/Cdk5rap2/Ccnb1/Cenpe",9
"BP","GO:0051302","regulation of cell division","18/688","156/20761",4.40204058325363e-06,0.00031446756602527,0.000257705670497572,"Pdgfb/Kif20a/Rab11a/Plk2/Thbs4/Racgap1/Sox17/Cdc25b/Aurka/Ect2/Tal1/Cit/Plk1/Kif23/Aspm/Klhl13/Prc1/Kif18b",18
"BP","GO:1905818","regulation of chromosome separation","11/688","61/20761",4.51842394717941e-06,0.00031446756602527,0.000257705670497572,"Birc5/Fbxo5/Ndc80/Bub1/Cit/Mad2l1/Plk1/Tacc3/Cdk5rap2/Ccnb1/Cenpe",11
"BP","GO:0071560","cellular response to transforming growth factor beta stimulus","21/688","204/20761",4.55080999491267e-06,0.00031446756602527,0.000257705670497572,"Acvr1b/Yes1/Gcnt2/Aspn/Hsp90ab1/Cidea/Lox/Smad7/Eng/Fbn1/Skil/Emilin1/Ppargc1a/Col4a2/Cdh5/Ccl2/Serpine1/Nrep/Adam17/Hipk2/Lrrc32",21
