"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0050807","regulation of synapse organization","20/507","266/20761",9.47285655352671e-06,0.00184286530201734,0.00139018324684651,"Fmr1/Adgre5/Pgrmc1/Pafah1b1/Sema4d/Gsk3b/App/Sorbs1/Ube3a/Myo5b/Caprin1/Ephb2/Adgrb2/Sparcl1/Gpm6a/Tanc1/Picalm/Oxtr/Ntrk3/Tuba1a",20
"BP","GO:0098930","axonal transport","9/507","58/20761",1.05778823312308e-05,0.00197552530418066,0.00149025660127571,"Fmr1/Pafah1b1/Hif1a/Sod1/Trak2/Dst/Arl8b/Dlg2/Kif1b",9
"BP","GO:1904018","positive regulation of vasculature development","17/507","204/20761",1.16418507840595e-05,0.00205085686127318,0.00154708368924261,"Itga5/Ramp2/Prkd1/Kit/Hif1a/C3/Anxa1/Nrp1/Nras/Sfrp2/Add1/Ago2/Serpine1/S100a1/Rhob/Hipk2/Rap1a",17
"BP","GO:0043087","regulation of GTPase activity","21/507","293/20761",1.18597419692388e-05,0.00205085686127318,0.00154708368924261,"Cav2/Adap2/Pafah1b1/Nedd9/Sema4d/Gsk3b/Sod1/Cxcl13/Mapre2/Itga6/Arhgap1/Gnao1/Mtss2/Ccl2/Plxnb2/Asap3/Dock10/Picalm/Wnk1/Ntrk3/Rap1a",21
"BP","GO:1901342","regulation of vasculature development","23/507","341/20761",1.23794776575095e-05,0.00206427789938971,0.00155720797902357,"Itga5/Ramp2/Prkd1/Kit/Wt1/Hif1a/Fgf9/C3/Anxa1/Nrp1/Nras/Sfrp2/Adgrb2/Add1/Col4a2/Ccl2/Ago2/Serpine1/S100a1/Rhob/Lep/Hipk2/Rap1a",23
"BP","GO:0010811","positive regulation of cell-substrate adhesion","13/507","127/20761",1.42177856505808e-05,0.00228906348974351,0.00172677716104694,"Itga5/Nid1/Fbln1/Alox15/Utrn/Nedd9/Gsk3b/Nrp1/Itga6/Prkcz/Cdh13/Ndnf/Myadm",13
"BP","GO:0008361","regulation of cell size","17/507","208/20761",1.50108854242892e-05,0.00233619413486687,0.00176233061858497,"Ulk2/Slc9a3r1/Pafah1b1/Sema4d/Gsk3b/Nrp1/Myo5b/Olfm1/Add1/Rnf6/Mtpn/Ret/Ryk/Mgll/Rap1gap2/Ntrk3/Bmpr2",17
"BP","GO:0032535","regulation of cellular component size","25/507","395/20761",1.55570204038087e-05,0.00234308800856073,0.00176753107881643,"Ulk2/Capza2/Alox15/Slc9a3r1/Pafah1b1/Sema4d/Gsk3b/Nrp1/Myo5b/Olfm1/Add1/Arpc1a/Rnf6/Mtpn/Ret/Ryk/Mgll/Atp13a2/Rap1gap2/Picalm/Cdc42ep1/Ntrk3/Gmfb/Bmpr2/Myadm",25
"BP","GO:0050803","regulation of synapse structure or activity","20/507","276/20761",1.6263037030348e-05,0.00237287874670922,0.00179000400998502,"Fmr1/Adgre5/Pgrmc1/Pafah1b1/Sema4d/Gsk3b/App/Sorbs1/Ube3a/Myo5b/Caprin1/Ephb2/Adgrb2/Sparcl1/Gpm6a/Tanc1/Picalm/Oxtr/Ntrk3/Tuba1a",20
"BP","GO:2000146","negative regulation of cell motility","20/507","280/20761",2.00271980751531e-05,0.00283354508523909,0.00213751211353947,"Fbln1/Slc9a3r1/Cd200/Gsk3b/Adipoq/Cxcl13/Cd63/Igfbp5/Olfm1/Sfrp2/Podn/Ppargc1a/Stk26/Adgrg1/Tcaf1/Serpine1/Hoxa7/Adora1/Plcb1/Rhob",20
"BP","GO:1990138","neuron projection extension","16/507","193/20761",2.23370387688872e-05,0.00306740100035102,0.00231392358268411,"Ulk2/Pafah1b1/Sema4d/Vcl/Gsk3b/Nedd4l/Nrp1/Myo5b/Olfm1/Prkcz/Rnf6/Ryk/Mgll/Picalm/Ntrk3/Bmpr2",16
"BP","GO:0050727","regulation of inflammatory response","22/507","333/20761",2.61836159388996e-05,0.00349289436624921,0.00263489861448295,"Acp5/Lbp/Per1/Cd200/Snx4/Adipoq/Sod1/Wfdc1/C3/Anxa1/Mgll/Rhbdd3/Serpine1/Adora1/Ctla2a/Ffar2/Cebpb/Lep/Gstp1/Gpx1/H2-T23/Gpx4",22
"BP","GO:0007611","learning or memory","20/507","287/20761",2.85316699311703e-05,0.00370039908079539,0.00279143180086829,"Comt/Zfp385a/Itga5/Prkar2b/Kit/Pgrmc1/Pafah1b1/Hif1a/App/Pja2/Ephb2/Prkcz/Nrxn2/Tanc1/Picalm/Atp1a3/Lrrn4/Oxtr/Plcb1/Gmfb",20
"BP","GO:0048813","dendrite morphogenesis","15/507","177/20761",3.10084007453336e-05,0.00391292494810709,0.00295175274235807,"Fmr1/Pafah1b1/Sema4d/Gsk3b/Nedd4l/Vldlr/Ube3a/Nrp1/Myo5b/Trak2/Caprin1/Ephb2/Cux1/Dock10/Picalm",15
"BP","GO:0048675","axon extension","13/507","137/20761",3.20284426499395e-05,0.00393528417717283,0.00296861964284481,"Ulk2/Pafah1b1/Sema4d/Vcl/Gsk3b/Nrp1/Myo5b/Olfm1/Rnf6/Ryk/Mgll/Ntrk3/Bmpr2",13
"BP","GO:0030336","negative regulation of cell migration","19/507","267/20761",3.38181692038924e-05,0.0040486418464865,0.00305413209598445,"Slc9a3r1/Cd200/Gsk3b/Adipoq/Cxcl13/Cd63/Igfbp5/Olfm1/Sfrp2/Podn/Ppargc1a/Stk26/Adgrg1/Tcaf1/Serpine1/Hoxa7/Adora1/Plcb1/Rhob",19
"BP","GO:0031346","positive regulation of cell projection organization","27/507","468/20761",3.68575967180783e-05,0.00430220297691769,0.00324540838470237,"Fmr1/Metrn/Prkd1/Kit/Neu1/Pafah1b1/Nme2/Sema4d/Gsk3b/Akirin1/Nedd4l/Vldlr/Nrp1/Myo5b/Itga6/Caprin1/Cux1/Ret/Gpm6a/Plxnb2/Picalm/Ndnf/Cdc42ep1/Ntrk3/Sept9/Bmpr2/Rap1a",27
"BP","GO:0060560","developmental growth involved in morphogenesis","19/507","270/20761",3.93884964038419e-05,0.00448548511486678,0.00338366903638652,"Ulk2/Pafah1b1/Sema4d/Vcl/Gsk3b/App/Nedd4l/Nrp1/Myo5b/Olfm1/Sfrp2/Prkcz/Rnf6/Ryk/Mgll/Picalm/Ntrk3/Bmpr2/Med12",19
"BP","GO:0034113","heterotypic cell-cell adhesion","8/507","53/20761",4.03851835023942e-05,0.00448948623268282,0.00338668731827095,"Itga5/Alox15/Cd200/Cxadr/Adipoq/Itga7/Wnk1/Myadm",8
"BP","GO:0001819","positive regulation of cytokine production","26/507","447/20761",4.47104967477748e-05,0.00485472812361304,0.00366221106776143,"Lbp/Hif1a/Clu/Cd200/Adipoq/App/Sod1/C3/Anxa1/Irf7/Optn/Nras/Cd1d1/Prkcz/Malt1/Ccl2/Serpine1/Akap12/Ddx58/Nop53/Plcb1/Ffar2/Cebpb/Lep/H2-T23/Mndal",26
"BP","GO:0031345","negative regulation of cell projection organization","16/507","205/20761",4.66274764178233e-05,0.00494781107715493,0.00373242909315877,"Ulk2/Ctsz/Pafah1b1/Sema4d/Gsk3b/Ube3a/Nrp1/Trak2/Vim/Ephb2/Rnf6/Ryk/Rap1gap2/H2-K1/Lgals1/H2-D1",16
"BP","GO:0032680","regulation of tumor necrosis factor production","14/507","163/20761",4.88766117325321e-05,0.00507122000398206,0.0038255238095217,"Acp5/Lbp/Clu/Adipoq/App/Cidea/Ube2j1/Gas6/Ccl2/Akap12/Ddx58/Lep/Gstp1/H2-T23",14
"BP","GO:0062012","regulation of small molecule metabolic process","21/507","323/20761",5.01513191556894e-05,0.00509035889430247,0.00383996141636011,"Comt/Kit/Pdk1/Cav1/Slc35b4/Ddit4/Hif1a/Adipoq/App/Sod1/Anxa1/Cpt1a/Sorbs1/Pfkfb1/Atp2b4/Lpgat1/Rorc/Ppargc1a/Pth1r/Acacb/Lep",21
"BP","GO:0045766","positive regulation of angiogenesis","15/507","185/20761",5.17588094335207e-05,0.00514174215415124,0.00387872287490617,"Itga5/Ramp2/Prkd1/Hif1a/C3/Anxa1/Nrp1/Nras/Sfrp2/Add1/Ago2/Serpine1/S100a1/Rhob/Hipk2",15
"BP","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","14/507","165/20761",5.58619878054704e-05,0.00543374210549461,0.00409899585958561,"Acp5/Lbp/Clu/Adipoq/App/Cidea/Ube2j1/Gas6/Ccl2/Akap12/Ddx58/Lep/Gstp1/H2-T23",14
"BP","GO:0032640","tumor necrosis factor production","14/507","166/20761",5.96705931952392e-05,0.00568575509446065,0.00428910429283073,"Acp5/Lbp/Clu/Adipoq/App/Cidea/Ube2j1/Gas6/Ccl2/Akap12/Ddx58/Lep/Gstp1/H2-T23",14
"BP","GO:0009611","response to wounding","27/507","482/20761",6.08984014792321e-05,0.00568669273013069,0.00428981160735812,"Folr1/P2rx5/Fbln1/Cav1/Anxa6/Alox15/Hif1a/Zfp36l1/Cxadr/Sod1/Cdkn1a/Akirin1/Wfdc1/C3/Anxa1/Bnc1/Dst/Gas6/Anxa2/Ccl2/Serpine1/Sh2b3/Ndnf/Ntrk3/Gpx1/Neat1/Muc16",27
"BP","GO:0010675","regulation of cellular carbohydrate metabolic process","13/507","146/20761",6.23236694688779e-05,0.00570567083823904,0.00430412792658133,"Pdk1/Hsd11b1/Slc35b4/Ddit4/Hif1a/Adipoq/Sorbs1/Pfkfb1/Rorc/Ppargc1a/Pth1r/Acacb/Lep",13
"BP","GO:0034764","positive regulation of transmembrane transport","17/507","233/20761",6.36528419326314e-05,0.00571529074968185,0.00431138479972844,"Cacnb3/Chp1/Slc9a3r1/Adipoq/C3/Nedd4l/Sorbs1/Ephb2/Ccl2/Tcaf1/Azin1/S100a1/Wnk1/Chchd10/Plcb1/Gpc3/Rap1a",17
"BP","GO:0010810","regulation of cell-substrate adhesion","16/507","211/20761",6.58642185980871e-05,0.005774326260127,0.00435591880745002,"Itga5/Nid1/Fbln1/Alox15/Utrn/Nedd9/Gsk3b/Nrp1/Itga6/Prkcz/Cdh13/Serpine1/Hoxa7/Ndnf/Lgals1/Myadm",16
"BP","GO:0061387","regulation of extent of cell growth","12/507","127/20761",6.67838119612033e-05,0.005774326260127,0.00435591880745002,"Ulk2/Pafah1b1/Sema4d/Gsk3b/Nrp1/Myo5b/Olfm1/Rnf6/Ryk/Mgll/Ntrk3/Bmpr2",12
"BP","GO:0048260","positive regulation of receptor-mediated endocytosis","8/507","57/20761",6.91297904282813e-05,0.00586849075472082,0.00442695270379003,"Fmr1/Clu/C3/Cd63/Anxa2/Trf/Serpine1/Hip1",8
"BP","GO:0071706","tumor necrosis factor superfamily cytokine production","14/507","169/20761",7.24892968817496e-05,0.00593051224544861,0.00447373921458918,"Acp5/Lbp/Clu/Adipoq/App/Cidea/Ube2j1/Gas6/Ccl2/Akap12/Ddx58/Lep/Gstp1/H2-T23",14
"BP","GO:0048259","regulation of receptor-mediated endocytosis","11/507","109/20761",7.34691386994526e-05,0.00593051224544861,0.00447373921458918,"Fmr1/Clu/C3/Cd63/Rspo1/Anxa2/Trf/Serpine1/Picalm/Hip1/Ankrd13a",11
"BP","GO:0048639","positive regulation of developmental growth","16/507","213/20761",7.36709595707902e-05,0.00593051224544861,0.00447373921458918,"Wt1/Pafah1b1/Sema4d/Fgf9/Gsk3b/C3/Nedd4l/Nrp1/Myo5b/Serpine1/Picalm/Acacb/Plcb1/Ntrk3/Lep/Bmpr2",16
"BP","GO:0042060","wound healing","22/507","358/20761",7.71365765184101e-05,0.00610424874177045,0.00460479901927922,"P2rx5/Fbln1/Cav1/Anxa6/Alox15/Hif1a/Cxadr/Cdkn1a/Akirin1/Wfdc1/C3/Anxa1/Bnc1/Dst/Gas6/Anxa2/Ccl2/Serpine1/Sh2b3/Ndnf/Gpx1/Muc16",22
"BP","GO:0001933","negative regulation of protein phosphorylation","24/507","411/20761",8.20724825375828e-05,0.00629769147091403,0.00475072441110536,"Prkar2b/Fbln1/Cav1/Chp1/Ddit4/Slc9a3r1/Pafah1b1/Per1/Sema4d/Gsk3b/Adipoq/Cdkn1a/Eif3a/Mapk8ip1/Wwtr1/Sfrp2/Ephb2/Prkcz/Ppargc1a/Sh2b3/Rnf149/Ntrk3/Gstp1/Myadm",24
"BP","GO:0043547","positive regulation of GTPase activity","16/507","215/20761",8.22786848845055e-05,0.00629769147091403,0.00475072441110536,"Cav2/Adap2/Nedd9/Sema4d/Gsk3b/Cxcl13/Mapre2/Itga6/Gnao1/Mtss2/Ccl2/Asap3/Dock10/Picalm/Ntrk3/Rap1a",16
"BP","GO:0050999","regulation of nitric-oxide synthase activity","6/507","31/20761",9.01893943321604e-05,0.00661461698718017,0.00498980023652193,"Cav1/Npr3/Gsk3b/Atp2b4/S100a1/Lep",6
"BP","GO:0043409","negative regulation of MAPK cascade","14/507","173/20761",9.32732148727097e-05,0.00661461698718017,0.00498980023652193,"Fbln1/Cav1/Slc9a3r1/Pafah1b1/Per1/Gsk3b/Adipoq/Eif3a/Mapk8ip1/Sfrp2/Ephb2/Sh2b3/Rnf149/Gstp1",14
"BP","GO:0030516","regulation of axon extension","11/507","112/20761",9.41064324192124e-05,0.00661461698718017,0.00498980023652193,"Pafah1b1/Sema4d/Gsk3b/Nrp1/Myo5b/Olfm1/Rnf6/Ryk/Mgll/Ntrk3/Bmpr2",11
"BP","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","12/507","132/20761",9.71216026025193e-05,0.00661461698718017,0.00498980023652193,"Stat6/C3/Tap2/Anxa1/Cd1d1/Prkcz/Tnfsf13b/Malt1/H2-K1/H2-T23/H2-Q10/H2-D1",12
"BP","GO:0008090","retrograde axonal transport","5/507","20/20761",9.74417273514053e-05,0.00661461698718017,0.00498980023652193,"Pafah1b1/Sod1/Dst/Dlg2/Kif1b",5
"BP","GO:0010976","positive regulation of neuron projection development","22/507","364/20761",9.82343419509396e-05,0.00661461698718017,0.00498980023652193,"Fmr1/Metrn/Prkd1/Neu1/Pafah1b1/Nme2/Sema4d/Gsk3b/Nedd4l/Vldlr/Nrp1/Myo5b/Itga6/Caprin1/Cux1/Ret/Plxnb2/Picalm/Ndnf/Ntrk3/Bmpr2/Rap1a",22
"BP","GO:0007409","axonogenesis","26/507","469/20761",9.83075773397405e-05,0.00661461698718017,0.00498980023652193,"Metrn/Ulk2/Pafah1b1/Sema4d/Arhgef28/Vcl/Gsk3b/App/Nrp1/Myo5b/Trak2/Dst/Vim/Olfm1/Ephb2/Rnf6/Ret/Ryk/Mycbp2/Mgll/Plxnb2/Picalm/Gas1/Ntrk3/Bmpr2/Grcc10",26
"BP","GO:0046390","ribose phosphate biosynthetic process","13/507","153/20761",0.000100749456751624,0.00661461698718017,0.00498980023652193,"Ampd3/Pdk1/Aprt/Acsl1/Nme2/Pdhb/Tkt/Adcy5/Ak3/Cmpk1/Ppargc1a/Pdha1/Acacb",13
"BP","GO:0001765","membrane raft assembly","4/507","11/20761",0.000101194076281839,0.00661461698718017,0.00498980023652193,"Cav2/Cav1/Anxa2/Flot2",4
"BP","GO:0022409","positive regulation of cell-cell adhesion","17/507","242/20761",0.000101455712807402,0.00661461698718017,0.00498980023652193,"Cav1/Zmiz1/Alox15/Myo10/Cxcl13/Anxa1/Itga6/Cd1d1/Prkcz/Tnfsf13b/Malt1/Ccl2/Sart1/Lep/Flot2/H2-T23/Lgals1",17
"BP","GO:1904019","epithelial cell apoptotic process","11/507","113/20761",0.000102003089114794,0.00661461698718017,0.00498980023652193,"Ramp2/Col18a1/Bid/Zfp36l1/Gsk3b/Ppargc1a/Gas6/Serpine1/Ndnf/Krt8/Bmpr2",11
"BP","GO:0022407","regulation of cell-cell adhesion","23/507","393/20761",0.00011116900389137,0.00707556414071683,0.00533752017559006,"Cav1/Zmiz1/Alox15/Myo10/Adipoq/Cxcl13/Anxa1/Itga6/Cd1d1/Prkcz/Tnfsf13b/Malt1/Ccl2/Sart1/Sh2b3/Wnk1/Cebpb/Lep/Gstp1/Flot2/H2-T23/Lgals1/Myadm",23
"BP","GO:0003013","circulatory system process","27/507","500/20761",0.000112142160294077,0.00707556414071683,0.00533752017559006,"Ramp2/Cav1/Sgcd/Hif1a/Npr3/Cxadr/Adipoq/Sod1/Nedd4l/Gaa/Atp2b4/Wwtr1/Slc2a5/Atp2a2/Gas6/Gnao1/Mgll/Akap12/Atp1a3/Adora1/S100a1/Wnk1/Oxtr/Lep/Tmem65/Gpx1/Bmpr2",27
"BP","GO:0098868","bone growth","7/507","46/20761",0.000116566119050678,0.00725662946463489,0.00547410855219045,"Col6a1/Anxa6/Col6a2/Anxa2/Vwa1/Col6a3/Lep",7
"BP","GO:0030198","extracellular matrix organization","18/507","269/20761",0.000118802815404453,0.0072611419011356,0.00547751255226515,"Ramp2/Col18a1/Nid1/Fbln1/P3h4/Wt1/Aebp1/App/Dpt/Sfrp2/Col4a6/Col4a2/Anxa2/Adamtsl2/Adamts2/Vwa1/Olfml2a/Ndnf",18
"BP","GO:0006898","receptor-mediated endocytosis","16/507","222/20761",0.000119748966885295,0.0072611419011356,0.00547751255226515,"Cav2/Fmr1/Ramp2/Cav1/Clu/C3/Vldlr/Cd63/Cap1/Rspo1/Anxa2/Trf/Serpine1/Picalm/Hip1/Ankrd13a",16
"BP","GO:0006790","sulfur compound metabolic process","18/507","270/20761",0.000124475266761638,0.0072853303939718,0.00549575937555199,"Comt/Pdk1/Gpx3/Acsl1/Acaca/Pdhb/Sod1/Pdha1/Gsta4/Chst4/Acacb/Tst/Ndnf/Gstp1/Suclg2/Gpx1/Gpx4/Hmgcs1",18
"BP","GO:0043062","extracellular structure organization","18/507","270/20761",0.000124475266761638,0.0072853303939718,0.00549575937555199,"Ramp2/Col18a1/Nid1/Fbln1/P3h4/Wt1/Aebp1/App/Dpt/Sfrp2/Col4a6/Col4a2/Anxa2/Adamtsl2/Adamts2/Vwa1/Olfml2a/Ndnf",18
"BP","GO:0031579","membrane raft organization","5/507","21/20761",0.000125336450285514,0.0072853303939718,0.00549575937555199,"Cav2/Cav1/Anxa2/Flot2/Myadm",5
"BP","GO:0006109","regulation of carbohydrate metabolic process","14/507","178/20761",0.00012638932574678,0.0072853303939718,0.00549575937555199,"Pdk1/Hsd11b1/Slc35b4/Ddit4/Hif1a/Adipoq/App/Sorbs1/Pfkfb1/Rorc/Ppargc1a/Pth1r/Acacb/Lep",14
"BP","GO:0032102","negative regulation of response to external stimulus","22/507","371/20761",0.000129214326953528,0.00732259660751726,0.00552387150381638,"Acp5/Cacnb3/Sema4d/Cd200/Adipoq/Sod1/Cdkn1a/Cxcl13/Wfdc1/Tap2/Nrp1/Anxa2/Ryk/Serpine1/Adora1/Sh2b3/Ctla2a/Lep/Gstp1/Gpx1/H2-T23/Muc16",22
"BP","GO:0006084","acetyl-CoA metabolic process","6/507","33/20761",0.000130172524828429,0.00732259660751726,0.00552387150381638,"Pdk1/Acaca/Pdhb/Pdha1/Acacb/Hmgcs1",6
