"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00480","Glutathione metabolism","8/339","71/8733",0.00599118799543149,0.0705008601983235,0.0548961276237847,"Gstm5/Gpx3/Rrm2/Gsta3/Gsr/Gsta4/Gstp1/Gpx4",8
"mmu04151","PI3K-Akt signaling pathway","24/339","357/8733",0.0060756254339051,0.0705008601983235,0.0548961276237847,"Pdgfb/Itga5/Col6a1/Ddit4/Col6a2/Thbs4/Hsp90ab1/Itga7/Pkn3/Ccne2/Tnc/Pik3r3/Kras/Il2rg/Col4a1/Col4a2/Jak3/Ppp2r1b/Itga1/Reln/Col6a3/F2r/Prkaa1/Mapk3",24
"mmu04371","Apelin signaling pathway","12/339","136/8733",0.00650472216548702,0.0705008601983235,0.0548961276237847,"Ccn2/Adcy4/Adcy5/Hdac4/Ppargc1a/Kras/Itpr2/Gnai2/Serpine1/Aplnr/Prkaa1/Mapk3",12
"mmu00980","Metabolism of xenobiotics by cytochrome P450","8/339","72/8733",0.00651891515532443,0.0705008601983235,0.0548961276237847,"Gstm5/Dhdh/Hsd11b1/Gsta3/Gsta4/Ugt1a6a/Gstp1/Ugt1a6b",8
"mmu05223","Non-small cell lung cancer","8/339","72/8733",0.00651891515532443,0.0705008601983235,0.0548961276237847,"Plcg1/E2f1/Pik3r3/Ret/Kras/Jak3/Mapk3/Prkcg",8
"mmu04730","Long-term depression","7/339","60/8733",0.00822643253467299,0.0857899392901612,0.0668011062965927,"Kras/Itpr2/Ppp2r1b/Gnai2/Lyn/Mapk3/Prkcg",7
"mmu00983","Drug metabolism - other enzymes","9/339","91/8733",0.00857547086245568,0.0863461204081744,0.0672341817165309,"Gstm5/Rrm2/Nme2/Tk1/Gsta3/Gsta4/Ugt1a6a/Gstp1/Ugt1a6b",9
"mmu01522","Endocrine resistance","9/339","92/8733",0.00919104487833444,0.0865737130475373,0.0674113987680896,"Esr1/Adcy4/Adcy5/Dll4/E2f1/Cdkn2c/Pik3r3/Kras/Mapk3",9
"mmu04666","Fc gamma R-mediated phagocytosis","9/339","92/8733",0.00919104487833444,0.0865737130475373,0.0674113987680896,"Plcg1/Myo10/Pik3r3/Wasf3/Vasp/Asap3/Lyn/Mapk3/Prkcg",9
"mmu05165","Human papillomavirus infection","23/339","352/8733",0.00993813023901362,0.0905291573863021,0.0704913410073585,"Itga5/Col6a1/Col6a2/Psmc1/Thbs4/Fzd6/Itga7/Casp8/E2f1/Ccna2/Ccne2/Tnc/Pik3r3/Kras/Col4a1/Col4a2/Ppp2r1b/Atp6v1g1/Itga1/Reln/Col6a3/Mapk3/H2-Q10",23
"mmu04360","Axon guidance","14/339","181/8733",0.0107229646267035,0.0905291573863021,0.0704913410073585,"Pdk1/Plcg1/Sema3g/Ablim1/Nrp1/Pik3r3/Ephb4/Kras/Gnai2/Ablim3/Plxnb2/Robo2/Fes/Mapk3",14
"mmu05161","Hepatitis B","13/339","163/8733",0.0107673277110865,0.0905291573863021,0.0704913410073585,"Stat6/Birc5/Map2k3/Casp8/E2f1/Ccna2/Ccne2/Pik3r3/Hspg2/Kras/Jak3/Mapk3/Prkcg",13
"mmu04972","Pancreatic secretion","10/339","111/8733",0.0108617482107887,0.0905291573863021,0.0704913410073585,"Rab11a/Atp2a3/Adcy4/Adcy5/Atp2b4/Pla2g12a/Itpr2/Atp1a3/Amy1/Prkcg",10
"mmu04810","Regulation of actin cytoskeleton","16/339","219/8733",0.0111611289928318,0.0905291573863021,0.0704913410073585,"Pdgfb/Itga5/Actn1/Myh11/Spata13/Myh9/Itga7/Iqgap3/Pik3r3/Kras/Iqgap1/Arhgef6/Arhgef7/Itga1/F2r/Mapk3",16
"mmu05203","Viral carcinogenesis","16/339","220/8733",0.0116246395448428,0.0917403985701108,0.0714344848274835,"Dnaja3/Cdc20/Actn1/Cdk1/Psmc1/C3/Casp8/Hdac4/Ccna2/Ccne2/Pik3r3/Kras/Jak3/Lyn/Mapk3/H2-Q10",16
"mmu04068","FoxO signaling pathway","11/339","131/8733",0.0127884533411684,0.0952143220615047,0.074139486536716,"Slc2a4/Plk2/Pik3r3/Kras/Plk1/Ccnb2/Setd7/Ccnb1/S1pr1/Prkaa1/Mapk3",11
"mmu05016","Huntington disease","20/339","300/8733",0.0128006843180337,0.0952143220615047,0.074139486536716,"Ulk2/Ndufa2/Psmd11/Gpx3/Ndufs7/Psmc1/Sod1/Ndufa5/Ndufv2/Casp8/Tuba4a/Psma7/Ndufb5/Ppargc1a/Polr2l/Hip1/Ndufb10/Ndufa7/Tuba1c/Tuba3a",20
"mmu05415","Diabetic cardiomyopathy","15/339","204/8733",0.0130430578166445,0.0952143220615047,0.074139486536716,"Ndufa2/Slc2a4/Ndufs7/Atp2a3/Pdhb/Ndufa5/Mpc1/Ndufv2/Ndufb5/Pik3r3/Pdha1/Gsr/Ndufb10/Ndufa7/Prkcg",15
"mmu05231","Choline metabolism in cancer","9/339","98/8733",0.0136117974098254,0.0953919497475414,0.0742777979288714,"Pdgfb/Plcg1/Slc5a7/Pik3r3/Wasf3/Kras/Slc22a2/Mapk3/Prkcg",9
"mmu04935","Growth hormone synthesis, secretion and action","10/339","115/8733",0.0137207598951943,0.0953919497475414,0.0742777979288714,"Plcg1/Map2k3/Adcy4/Adcy5/Pik3r3/Kras/Itpr2/Gnai2/Mapk3/Prkcg",10
"mmu03010","Ribosome","11/339","133/8733",0.0142080891164214,0.0960919243496436,0.0748228394359157,"Rpl13/Rps25/Rps5/Rplp2/Mrps15/Rps21/Rpl36/Rpl30/Rpl3/Rps15/Rps13",11
"mmu05215","Prostate cancer","9/339","99/8733",0.0144796050389874,0.0960919243496436,0.0748228394359157,"Pdgfb/Hsp90ab1/E2f1/Ccne2/Pik3r3/Kras/Erg/Gstp1/Mapk3",9
"mmu04960","Aldosterone-regulated sodium reabsorption","5/339","38/8733",0.0149931237404528,0.0972887140491601,0.0757547304780771,"Pik3r3/Kras/Atp1a3/Mapk3/Prkcg",5
