"term_id"	"source"	"p_value"	"term_size"	"intersection_size"	"term_name"	"intersection"
"GO:0072359"	"GO:BP"	0.000504037801244466	1042	20	"circulatory system development"	"Dnah5,Prkd2,Meox2,Dnah11,Robo4,Mapk3,Foxj1,Ccm2l,Ephb4,Thbs4,Ets1,Aplnr,Pax8,Pik3r3,Tie1,Pecam1,Sall1,Sox18,Ccdc40,Hspb6"
"GO:0051270"	"GO:BP"	0.000986488615762225	986	19	"regulation of cellular component movement"	"Prkd2,Meox2,Dnah11,Robo4,Mapk3,Fbxo5,Maz,Pde4b,Epcam,Thbs4,Ets1,Tie1,Rsph4a,Cdh1,Pecam1,Wdr63,Timp1,Gnai2,Ccdc40"
"GO:0007017"	"GO:BP"	0.00107134808703358	798	17	"microtubule-based process"	"Dnah5,Dnah11,Pkhd1,Foxj1,Calml3,Fbxo5,Rsph4a,Ttc21a,Wdr63,Spag16,Dnah9,Fkbp4,Ccdc40,Map3k11,Sapcd2,Ckap2,Dnah6"
"GO:0035082"	"GO:BP"	0.00114562811910301	60	6	"axoneme assembly"	"Dnah5,Foxj1,Rsph4a,Wdr63,Spag16,Ccdc40"
"GO:0048731"	"GO:BP"	0.00143488567995001	4264	44	"system development"	"Elf3,Marveld1,Dnah5,Prkd2,Meox2,Dcdc2a,Dnah11,Robo4,Fermt1,E2f1,Pkhd1,Mapk3,Sept4,Foxj1,Tspan2,Fbxo5,Mcoln3,Ccm2l,Epcam,Ephb4,Thbs4,Ets1,Aplnr,Pax8,Pik3r3,Ptprd,Tie1,Pcdh12,Cdh1,Pecam1,Pou3f3,Sall1,Mall,Mt3,Sox18,Timp1,Fkbp4,Kl,Igfn1,Ccdc40,Sapcd2,Hspb6,Rec8,Slc38a2"
"GO:0098609"	"GO:BP"	0.00153239246427362	726	16	"cell-cell adhesion"	"Icam2,Cldn2,Foxj1,B4galnt2,Ccm2l,Epcam,Ephb4,Cdh16,Thbs4,Ets1,Ptprd,Pcdh12,Cdh1,Pecam1,Igfn1,Igsf11"
"GO:0022414"	"GO:BP"	0.00188980793838949	1350	22	"reproductive process"	"Dnah5,Dnah11,E2f1,Spata18,Mapk3,Sept4,Fbxo5,Ggt1,Ets1,Ppp1r1b,Pcdh12,Sall1,Ttc21a,Spag16,Timp1,Mmp7,Ptgds,Fkbp4,Ccdc40,Cdc25b,Rec8,Slc38a2"
"GO:0000003"	"GO:BP"	0.0019132460333141	1351	22	"reproduction"	"Dnah5,Dnah11,E2f1,Spata18,Mapk3,Sept4,Fbxo5,Ggt1,Ets1,Ppp1r1b,Pcdh12,Sall1,Ttc21a,Spag16,Timp1,Mmp7,Ptgds,Fkbp4,Ccdc40,Cdc25b,Rec8,Slc38a2"
"GO:0098742"	"GO:BP"	0.00224337456500762	208	9	"cell-cell adhesion via plasma-membrane adhesion molecules"	"Cldn2,Epcam,Cdh16,Ptprd,Pcdh12,Cdh1,Pecam1,Igfn1,Igsf11"
"GO:0060294"	"GO:BP"	0.00235965916271946	107	7	"cilium movement involved in cell motility"	"Dnah5,Dnah11,Rsph4a,Ttc21a,Wdr63,Spag16,Ccdc40"
"GO:0060285"	"GO:BP"	0.00340870755619719	113	7	"cilium-dependent cell motility"	"Dnah5,Dnah11,Rsph4a,Ttc21a,Wdr63,Spag16,Ccdc40"
"GO:0001539"	"GO:BP"	0.00340870755619719	113	7	"cilium or flagellum-dependent cell motility"	"Dnah5,Dnah11,Rsph4a,Ttc21a,Wdr63,Spag16,Ccdc40"
"GO:0044703"	"GO:BP"	0.00772844427048875	923	17	"multi-organism reproductive process"	"E2f1,Spata18,Mapk3,Sept4,Fbxo5,Ggt1,Ets1,Ppp1r1b,Ttc21a,Spag16,Timp1,Mmp7,Ptgds,Fkbp4,Cdc25b,Rec8,Slc38a2"
"GO:0007275"	"GO:BP"	0.00976622346021809	4726	45	"multicellular organism development"	"Elf3,Marveld1,Dnah5,Prkd2,Meox2,Dcdc2a,Dnah11,Robo4,Fermt1,E2f1,Pkhd1,Spata18,Mapk3,Sept4,Foxj1,Tspan2,Fbxo5,Mcoln3,Ccm2l,Epcam,Ephb4,Thbs4,Ets1,Aplnr,Pax8,Pik3r3,Ptprd,Tie1,Pcdh12,Cdh1,Pecam1,Pou3f3,Sall1,Mall,Mt3,Sox18,Timp1,Fkbp4,Kl,Igfn1,Ccdc40,Sapcd2,Hspb6,Rec8,Slc38a2"
"GO:0051179"	"GO:BP"	0.00985695667665044	5542	50	"localization"	"Dnah5,Prkd2,Meox2,Dcdc2a,Dnah11,Prom2,Robo4,Fermt1,Kcnk1,Gpihbp1,Mapk3,Sept4,Foxj1,Fbxo5,Maz,Mcoln3,Slc30a3,Pde4b,Epcam,Ephb4,Thbs4,Fgfr4,Pdzk1,Ets1,Aplnr,Pax8,Pik3r3,Tie1,Rsph4a,Adcy8,Pkn3,Cdh1,Pecam1,Pou3f3,Ttc21a,Wdr63,Mt3,Spag16,Sox18,Slc7a9,Ush1c,Timp1,Fhod1,Ptgds,Fkbp4,Gnai2,Ccdc40,Igsf11,Sapcd2,Slc38a2"
"GO:0051704"	"GO:BP"	0.0101243585228141	942	17	"multi-organism process"	"E2f1,Spata18,Mapk3,Sept4,Fbxo5,Ggt1,Ets1,Ppp1r1b,Ttc21a,Spag16,Timp1,Mmp7,Ptgds,Fkbp4,Cdc25b,Rec8,Slc38a2"
"GO:0009893"	"GO:BP"	0.0107989682304637	3513	37	"positive regulation of metabolic process"	"Elf3,Prkd2,Meox2,Prom2,Fermt1,E2f1,Ehf,Mapk3,Sept4,Foxj1,Maz,Ccm2l,Pde4b,Epcam,Ephb4,Thbs4,Fgfr4,Ets1,Aplnr,Pax8,Pik3r3,Tie1,Adcy8,Cdh1,Pecam1,Pou3f3,Sall1,Mt3,Sox18,Fhod1,Eif2a,Kl,Gnai2,Map3k11,Cdc25b,Ckap2,Slc38a2"
"GO:0010604"	"GO:BP"	0.0111166685581343	3225	35	"positive regulation of macromolecule metabolic process"	"Elf3,Prkd2,Meox2,Prom2,Fermt1,E2f1,Ehf,Mapk3,Sept4,Foxj1,Maz,Ccm2l,Pde4b,Epcam,Thbs4,Fgfr4,Ets1,Aplnr,Pax8,Pik3r3,Adcy8,Cdh1,Pecam1,Pou3f3,Sall1,Mt3,Sox18,Fhod1,Eif2a,Kl,Gnai2,Map3k11,Cdc25b,Ckap2,Slc38a2"
"GO:0031325"	"GO:BP"	0.0132572407894353	3106	34	"positive regulation of cellular metabolic process"	"Elf3,Prkd2,Meox2,Prom2,E2f1,Ehf,Mapk3,Sept4,Foxj1,Maz,Epcam,Ephb4,Thbs4,Fgfr4,Ets1,Aplnr,Pax8,Pik3r3,Tie1,Adcy8,Cdh1,Pecam1,Pou3f3,Sall1,Mt3,Sox18,Fhod1,Eif2a,Kl,Gnai2,Map3k11,Cdc25b,Ckap2,Slc38a2"
"GO:0001578"	"GO:BP"	0.0134285515295459	91	6	"microtubule bundle formation"	"Dnah5,Foxj1,Rsph4a,Wdr63,Spag16,Ccdc40"
"GO:0001525"	"GO:BP"	0.0167028824764328	498	12	"angiogenesis"	"Prkd2,Meox2,Robo4,Ephb4,Thbs4,Ets1,Aplnr,Pik3r3,Tie1,Pecam1,Sox18,Hspb6"
"GO:0050794"	"GO:BP"	0.0174192769570876	9266	70	"regulation of cellular process"	"Elf3,Lxn,Prkd2,Meox2,Dcdc2a,Dnah11,Prom2,Robo4,Fermt1,E2f1,Pkhd1,Gpihbp1,Ehf,Zfp617,Mapk3,Sept4,Foxj1,Calml3,B4galnt2,Rgs22,Fbxo5,Maz,Mcoln3,Arap3,Slc30a3,Ccm2l,Pde4b,Epcam,Ephb4,Thbs4,Fgfr4,Pdzk1,Ets1,Aplnr,Eif5,Pax8,Pik3r3,Sectm1b,Ptprd,Ppp1r1b,Tie1,Rsph4a,Adcy8,Pkn3,Cdh1,Pecam1,Pou3f3,Sall1,Wdr63,Gatsl3,Mt3,Sox18,Timp1,Elp4,Inf2,Fhod1,Ptgds,Fkbp4,Eif2a,Kl,Gnai2,Ccdc40,Map3k11,Cdc25b,Igsf11,Sapcd2,Sparcl1,Hspb6,Ckap2,Slc38a2"
"GO:0048513"	"GO:BP"	0.0180446653230673	3150	34	"animal organ development"	"Elf3,Dnah5,Meox2,Dnah11,Fermt1,E2f1,Pkhd1,Mapk3,Sept4,Foxj1,Tspan2,Fbxo5,Mcoln3,Ccm2l,Epcam,Ephb4,Ets1,Aplnr,Pax8,Pcdh12,Cdh1,Pecam1,Pou3f3,Sall1,Mt3,Sox18,Timp1,Fkbp4,Kl,Igfn1,Ccdc40,Sapcd2,Rec8,Slc38a2"
"GO:0050789"	"GO:BP"	0.0195380950254776	9684	72	"regulation of biological process"	"Elf3,Lxn,Prkd2,Meox2,Dcdc2a,Dnah11,Prom2,Robo4,Fermt1,E2f1,Pkhd1,Gpihbp1,Ehf,Zfp617,Mapk3,Sept4,Foxj1,Calml3,B4galnt2,Rgs22,Fbxo5,Maz,Mcoln3,Arap3,Slc30a3,Ccm2l,Pde4b,Epcam,Ephb4,Ggt1,Thbs4,Fgfr4,Pdzk1,Ets1,Aplnr,Eif5,Pax8,Pik3r3,Sectm1b,Ptprd,Ppp1r1b,Ecsit,Tie1,Rsph4a,Adcy8,Pkn3,Cdh1,Pecam1,Pou3f3,Sall1,Wdr63,Gatsl3,Mt3,Sox18,Timp1,Elp4,Inf2,Fhod1,Ptgds,Fkbp4,Eif2a,Kl,Gnai2,Ccdc40,Map3k11,Cdc25b,Igsf11,Sapcd2,Sparcl1,Hspb6,Ckap2,Slc38a2"
"GO:0010631"	"GO:BP"	0.0205820199059887	273	9	"epithelial cell migration"	"Prkd2,Meox2,Fermt1,Ephb4,Ets1,Pik3r3,Pkn3,Pecam1,Sox18"
"GO:0007155"	"GO:BP"	0.0208593206607642	1215	19	"cell adhesion"	"Icam2,Prkd2,Fermt1,Cldn2,Foxj1,B4galnt2,Ccm2l,Epcam,Ephb4,Cdh16,Troap,Thbs4,Ets1,Ptprd,Pcdh12,Cdh1,Pecam1,Igfn1,Igsf11"
"GO:0090132"	"GO:BP"	0.0218169669697694	275	9	"epithelium migration"	"Prkd2,Meox2,Fermt1,Ephb4,Ets1,Pik3r3,Pkn3,Pecam1,Sox18"
"GO:0022610"	"GO:BP"	0.023408455432089	1225	19	"biological adhesion"	"Icam2,Prkd2,Fermt1,Cldn2,Foxj1,B4galnt2,Ccm2l,Epcam,Ephb4,Cdh16,Troap,Thbs4,Ets1,Ptprd,Pcdh12,Cdh1,Pecam1,Igfn1,Igsf11"
"GO:0051173"	"GO:BP"	0.0253812940869043	2912	32	"positive regulation of nitrogen compound metabolic process"	"Elf3,Prkd2,Meox2,Prom2,E2f1,Ehf,Mapk3,Sept4,Foxj1,Maz,Epcam,Thbs4,Fgfr4,Ets1,Aplnr,Pax8,Pik3r3,Adcy8,Cdh1,Pecam1,Pou3f3,Sall1,Mt3,Sox18,Fhod1,Eif2a,Kl,Gnai2,Map3k11,Cdc25b,Ckap2,Slc38a2"
"GO:0090130"	"GO:BP"	0.0259088827402717	281	9	"tissue migration"	"Prkd2,Meox2,Fermt1,Ephb4,Ets1,Pik3r3,Pkn3,Pecam1,Sox18"
"GO:0048518"	"GO:BP"	0.0270825054217182	5565	49	"positive regulation of biological process"	"Elf3,Prkd2,Meox2,Dcdc2a,Prom2,Fermt1,E2f1,Pkhd1,Gpihbp1,Ehf,Mapk3,Sept4,Foxj1,Fbxo5,Maz,Slc30a3,Ccm2l,Pde4b,Epcam,Ephb4,Thbs4,Fgfr4,Pdzk1,Ets1,Aplnr,Pax8,Pik3r3,Ptprd,Tie1,Adcy8,Cdh1,Pecam1,Pou3f3,Sall1,Wdr63,Mt3,Sox18,Timp1,Fhod1,Eif2a,Kl,Gnai2,Map3k11,Cdc25b,Igsf11,Sapcd2,Hspb6,Ckap2,Slc38a2"
"GO:0065007"	"GO:BP"	0.0385415370375212	10242	74	"biological regulation"	"Elf3,Lxn,Prkd2,Meox2,Dcdc2a,Dnah11,Prom2,Robo4,Fermt1,E2f1,Kcnk1,Pkhd1,Gpihbp1,Ehf,Zfp617,Mapk3,Sept4,Foxj1,Calml3,B4galnt2,Rgs22,Fbxo5,Maz,Mcoln3,Arap3,Slc30a3,Ccm2l,Pde4b,Epcam,Ephb4,Ggt1,Thbs4,Fgfr4,Pdzk1,Ets1,Aplnr,Eif5,Pax8,Pik3r3,Sectm1b,Ptprd,Ppp1r1b,Ecsit,Tie1,Rsph4a,Adcy8,Pkn3,Cdh1,Pecam1,Pou3f3,Sall1,Wdr63,Gatsl3,Mt3,Sox18,Ush1c,Timp1,Elp4,Inf2,Fhod1,Ptgds,Fkbp4,Eif2a,Kl,Gnai2,Ccdc40,Map3k11,Cdc25b,Igsf11,Sapcd2,Sparcl1,Hspb6,Ckap2,Slc38a2"
"GO:0044782"	"GO:BP"	0.0412346048117106	298	9	"cilium organization"	"Dnah5,Dcdc2a,Pkhd1,Foxj1,Rsph4a,Ttc21a,Wdr63,Spag16,Ccdc40"
"GO:0000226"	"GO:BP"	0.0471847340200165	553	12	"microtubule cytoskeleton organization"	"Dnah5,Pkhd1,Foxj1,Calml3,Fbxo5,Rsph4a,Wdr63,Spag16,Fkbp4,Ccdc40,Sapcd2,Ckap2"
"GO:0072240"	"GO:BP"	0.0490276615988095	2	2	"metanephric DCT cell differentiation"	"Pax8,Pou3f3"
"GO:0072069"	"GO:BP"	0.0490276615988095	2	2	"DCT cell differentiation"	"Pax8,Pou3f3"
"GO:0120025"	"GO:CC"	8.68285400607984e-10	2163	38	"plasma membrane bounded cell projection"	"Dnah5,Icam2,Dcdc2a,Dnah11,Prom2,Fermt1,Kcnk1,Pkhd1,Spata18,Mapk3,Afap1l1,Sept4,Klhl14,Mcoln3,Arap3,Slc30a3,Pde4b,Ephb4,Pdzk1,Ppp1r1b,Rsph4a,Adcy8,Cdh1,Pecam1,Ttc21a,Wdr63,Mt3,Spag16,Slc7a9,Ush1c,Dnah9,Fam183b,Fhod1,Fkbp4,Gnai2,Ccdc40,Dnah6,Slc38a2"
"GO:0042995"	"GO:CC"	2.95559299101969e-09	2252	38	"cell projection"	"Dnah5,Icam2,Dcdc2a,Dnah11,Prom2,Fermt1,Kcnk1,Pkhd1,Spata18,Mapk3,Afap1l1,Sept4,Klhl14,Mcoln3,Arap3,Slc30a3,Pde4b,Ephb4,Pdzk1,Ppp1r1b,Rsph4a,Adcy8,Cdh1,Pecam1,Ttc21a,Wdr63,Mt3,Spag16,Slc7a9,Ush1c,Dnah9,Fam183b,Fhod1,Fkbp4,Gnai2,Ccdc40,Dnah6,Slc38a2"
"GO:0005575"	"GO:CC"	6.91343575459555e-08	16333	108	"cellular_component"	"Dao,Elf3,Tmem212,Marveld1,Lxn,Dnah5,Icam2,Prkd2,Meox2,Dcdc2a,Dnah11,Prom2,Cuzd1,Robo4,2810004N23Rik,Fermt1,Cldn2,E2f1,Kcnk1,Pkhd1,Gpihbp1,Greb1,Spata18,B3gnt3,Ehf,Zfp617,Mapk3,Afap1l1,Sept4,Foxj1,Tspan2,Klhl14,B4galnt2,Rgs22,She,Fbxo5,Mcoln3,Arap3,Slc30a3,Ccm2l,Pde4b,Epcam,Ephb4,Cdh16,Ggt1,Troap,Thbs4,Fgfr4,Pdzk1,Ets1,Aplnr,Eif5,Pax8,Pik3r3,Sectm1b,Acaa1b,Ptprd,Ppp1r1b,Ecsit,Tie1,Pcdh12,Rsph4a,Adcy8,Pkn3,Ccdc153,Cdh1,Pecam1,Pou3f3,Sall1,Ttc21a,Mall,Wdr63,Gatsl3,Mt3,Spag16,Sox18,Slc7a9,Ush1c,Timp1,Dnah9,Lmf2,Mmp7,Fam183b,Mis18bp1,Elp4,Inf2,Fhod1,Ptgds,Fkbp4,Eif2a,Myct1,B4galnt3,Kl,Gnai2,Igfn1,Ccdc40,Map3k11,Cdc25b,Igsf11,Sapcd2,Sparcl1,Acsbg1,Tmem132b,Hspb6,Ckap2,Dnah6,Rec8,Slc38a2"
"GO:0110165"	"GO:CC"	7.36000208801629e-08	15331	105	"cellular anatomical entity"	"Dao,Elf3,Tmem212,Marveld1,Lxn,Dnah5,Icam2,Prkd2,Meox2,Dcdc2a,Dnah11,Prom2,Cuzd1,Robo4,2810004N23Rik,Fermt1,Cldn2,E2f1,Kcnk1,Pkhd1,Gpihbp1,Greb1,Spata18,B3gnt3,Ehf,Zfp617,Mapk3,Afap1l1,Sept4,Foxj1,Tspan2,Klhl14,B4galnt2,Rgs22,Fbxo5,Mcoln3,Arap3,Slc30a3,Pde4b,Epcam,Ephb4,Cdh16,Ggt1,Troap,Thbs4,Fgfr4,Pdzk1,Ets1,Aplnr,Eif5,Pax8,Pik3r3,Sectm1b,Acaa1b,Ptprd,Ppp1r1b,Ecsit,Tie1,Pcdh12,Rsph4a,Adcy8,Pkn3,Cdh1,Pecam1,Pou3f3,Sall1,Ttc21a,Mall,Wdr63,Gatsl3,Mt3,Spag16,Sox18,Slc7a9,Ush1c,Timp1,Dnah9,Lmf2,Mmp7,Fam183b,Mis18bp1,Elp4,Inf2,Fhod1,Ptgds,Fkbp4,Eif2a,Myct1,B4galnt3,Kl,Gnai2,Igfn1,Ccdc40,Map3k11,Cdc25b,Igsf11,Sapcd2,Sparcl1,Acsbg1,Tmem132b,Hspb6,Ckap2,Dnah6,Rec8,Slc38a2"
"GO:0005930"	"GO:CC"	1.47238987052578e-06	109	9	"axoneme"	"Dnah5,Dcdc2a,Dnah11,Rsph4a,Wdr63,Spag16,Dnah9,Ccdc40,Dnah6"
"GO:0097014"	"GO:CC"	1.73046475694554e-06	111	9	"ciliary plasm"	"Dnah5,Dcdc2a,Dnah11,Rsph4a,Wdr63,Spag16,Dnah9,Ccdc40,Dnah6"
"GO:0005856"	"GO:CC"	9.27279902835537e-06	1968	30	"cytoskeleton"	"Marveld1,Dnah5,Dcdc2a,Dnah11,Fermt1,E2f1,Pkhd1,Mapk3,Afap1l1,Sept4,Klhl14,Fbxo5,Arap3,Pde4b,Rsph4a,Adcy8,Cdh1,Wdr63,Mt3,Spag16,Dnah9,Fam183b,Fhod1,Fkbp4,Gnai2,Ccdc40,Map3k11,Cdc25b,Ckap2,Dnah6"
"GO:0005929"	"GO:CC"	9.79716012716232e-05	589	15	"cilium"	"Dnah5,Dcdc2a,Dnah11,Prom2,Pkhd1,Spata18,Sept4,Rsph4a,Ttc21a,Wdr63,Spag16,Dnah9,Fam183b,Ccdc40,Dnah6"
"GO:0099568"	"GO:CC"	0.000181775943966718	248	10	"cytoplasmic region"	"Dnah5,Dcdc2a,Dnah11,Rsph4a,Wdr63,Spag16,Dnah9,Ccdc40,Sapcd2,Dnah6"
"GO:0032838"	"GO:CC"	0.000354134256810218	206	9	"plasma membrane bounded cell projection cytoplasm"	"Dnah5,Dcdc2a,Dnah11,Rsph4a,Wdr63,Spag16,Dnah9,Ccdc40,Dnah6"
"GO:0030054"	"GO:CC"	0.00136865539293706	1836	25	"cell junction"	"Dcdc2a,Fermt1,Cldn2,Kcnk1,Mapk3,Afap1l1,Sept4,Slc30a3,Pde4b,Epcam,Thbs4,Fgfr4,Ptprd,Ppp1r1b,Pcdh12,Adcy8,Cdh1,Pecam1,Mt3,Fhod1,Gnai2,Igfn1,Igsf11,Sapcd2,Sparcl1"
"GO:0043232"	"GO:CC"	0.00160473190829423	3941	40	"intracellular non-membrane-bounded organelle"	"Marveld1,Dnah5,Dcdc2a,Dnah11,2810004N23Rik,Fermt1,E2f1,Pkhd1,Mapk3,Afap1l1,Sept4,Klhl14,Fbxo5,Arap3,Pde4b,Rsph4a,Adcy8,Cdh1,Pecam1,Sall1,Wdr63,Mt3,Spag16,Sox18,Dnah9,Fam183b,Mis18bp1,Fhod1,Fkbp4,Eif2a,Gnai2,Igfn1,Ccdc40,Map3k11,Cdc25b,Sapcd2,Hspb6,Ckap2,Dnah6,Rec8"
